Summary,Type,Description
AS-17: Output Encoding,story,"*Narrative*

Technology Product Owner: Implement output encoding to ensure data is correctly rendered, and does not reveal operational details about the application

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-17-TC01	Conduct all encoding on a trusted system
Primary: AS-17-TC02	Contextually output encode all data returned to the client that originated outside the application's trust boundary. HTML entity encoding is one example, but does not work in all cases
Primary: AS-17-TC03	Encode all characters unless they are known to be safe for the intended interpreter
Primary: AS-17-TC04	Contextually sanitize all output of un-trusted data to queries for SQL, XML, and LDAP

Primary: AS-17-TC05	Sanitize all output of un-trusted data to operating system commands
Secondary: AS-17-TC06	Utilize a standard, tested routine for each type of outbound encoding
"
PM-09: Project Risk and Issue Management ,story,"*Narrative*

Product Owner: Key project dependencies, assumptions, risks and issues are documented and discussed with all key stakeholders, including the Project Owner and Sponsor

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-09-TC01	Key project dependencies, assumptions, risks and issues are documented and discussed with all key stakeholders, including the Project Owner and Sponsor
"
PM-10: Project Change Management,story,"*Narrative*

Product Owner: All project changes are  formally documented, evaluated and approved by the respective stakeholders to ensure that all changes are authorised and change impacts are managed

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : PM-10-TC01	All project changes are approved by the appropriate delegated authority after the impact in terms of time, cost and quality has been fully assessed. Scope changes are approved prior to the work commencing
Primary : PM-10-TC02	Contingency funding is only used for unknown events and not to fund scope changes as all scope changes need to be approved
Primary: PM-10-TC03	The relevant documentation (e.g. purchase order / contract amendments, schedule, budget) is updated subsequent to every scope change
"
PM-11: Project Stakeholder and Communication Management,story,"*Narrative*

Product Owner: All key awareness messages and activities to all relevant and impacted stakeholder groups have been listed and are being executed to prevent stakeholder dissatisfaction and project delays

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-11-TC01	All key awareness messages and activities to all relevant stakeholder groups have been listed and are being executed
"
AS-20: Adhoc Secure Coding Practices,story,"*Narrative*

Technology Product Owner: Additional secure coding practices

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-20-TC01	Utilize task specific built-in services and APIs to conduct operating system tasks. Do not allow the application to issue commands directly to the Operating System, especially through the use of application initiated command shells
Primary: AS-20-TC02	Utilize locking to prevent multiple simultaneous requests or use a synchronization mechanism to prevent race conditions
Primary: AS-20-TC03	Explicitly initialize all your variables and other data stores, either during declaration or just before the first usage
Primary: AS-20-TC04	In cases where the application must run with elevated privileges, raise privileges; within the runtime environment; should do so as late as possible, and drop them as soon as possible
Primary: AS-20-TC05	All third party dependencies (e.g. source code, applications and libraries) must be evaluated for security vulnerabilities before being deployed in production
Secondary: AS-20-TC06	Use tested and approved managed code rather than creating new unmanaged code for common tasks
Secondary: AS-20-TC07	Use checksums or hashes to verify the integrity of interpreted code, libraries, executables, and configuration files
Secondary: AS-20-TC08	Avoid calculation errors by understanding your programming language's underlying representation and how it interacts with numeric calculation. Pay close attention to byte size discrepancies, precision, signed/unsigned distinctions, truncation, conversion and casting between types, not-a-number"" calculations
Primary: AS-20-TC09	Debug code must not be promoted into production except during diagnostic efforts undertaken through normal change management channels.
"
PM-13: System Documentation,story,"*Narrative*

Product Owner: All relevant system documentation is maintained, to enable future changes to the system / product, and the documentation is handed over to the relevant person on completion of the project

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-13-TC01	System and procedural documentation (for applications and EUDAs) is updated / maintained subsequent to the project go-live and following any changes thereafter. Documentation should include (non exhaustive):
- Commentary in source code
- Documentation on source code dependencies
- Installation guidelines
- Operational manual
- Administration manual
- Epics and User Stories (or equivalent) delivered
"
CR-10: Change Management Process,story,"*Narrative*

Release management has been engaged and a release schedule has been logged on the Change Management System in the form of a change record.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: CR-10-TC01 A Change Number exists on the Change Management System for the release.
Primary: CR-10-TC02 All necessary artefacts are linked to the Change Record: GAP Compliance Report; Report of Completed Stories for release; Risk Dispensation in the event that stories are incomplete; Navigator- and Book of Work Numbers.
"
PM-14: Project Training,story,"*Narrative*

Product Owner: Adequate training has been provided on the solution / product prior to go-live to ensure that the solution is adequately utilised

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-14-TC01	All users of the solution/product have undergone appropriate training before using the solution/system
"
PM-15: Project Go-live Support,story,"*Narrative*

Product Owner: Adequate post go-live support is in place for the system / product to prevent delayed system downtime

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-15-TC01	Post go-live support processes and upgrade arrangements, for the software and hardware, are in place and users are made adequately aware of these processes
"
PM-16: Project Handover and Closure,story,"*Narrative*

Product Owner: A formal handover is conducted to all key Technology and Business stakeholders. A Project Closure Report is completed and lessons learnt are captured for use on future similar projects

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-16-TC01	Formal handover is conducted 
Primary: PM-16-TC02	A project Closure Report is completed and adequately signed off by all key stakeholders
Secondary: PM-16-TC03	A list of Lessons learnt during the programme is created and distributed to all key stakeholders, to ensure that similar projects can draw on these lessons.
"
PM-17: Project Financial Capitalisation,story,"*Narrative*

Product Owner: The project costs are capitalised in line with the organisation's capitalisation policy (if applicable) to prevent the depreciation expense from being understated

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: PM-17-TC01	Project costs are capitalised in line with the organisation's capitalisation policy to prevent the assets and depreciation from being understated
"
PR-02: Problem Resolution,story,"*Narrative*

 Closure and Monitoring

*Acceptance Criteria*

Technology Product Owner: Problems are resolved promptly and monitored to minimise business impact and re-occurrence.

*Test Cases*

Secondary: PR-02-TC01	Details of what was done to fix the root cause are logged fully and clearly within the Problem Record
Primary: PR-02-TC02	Appropriate Run The Bank"" sign off is obtained and evidenced within the Problem Record for unresolved problems. Where root cause is unknown
Primary: PR-02-TC04	All severity 1, 2 and 3 high problems are closed by a member of the Problem Management Team, only where the required closure criteria was met.
"
RM-05: Technology Process Documentation,story,"*Narrative*

Technology Product Owner: Key technology processes are documented, with the documentation maintained and kept available to reduce operational errors and ensure service continuity through staff absence

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : RM-05-TC01	Key technology processes are documented, with the documentation maintained and kept available to reduce operational errors and ensure service continuity through staff absence
Primary : RM-05-TC01	Roles and responsibilities for key roles are defined, documented and made known to the relevant staff.
"
SD-01: Implement a Secure Design,story,"*Narrative*

Technology Product Owner: Systems and applications implement a secure design and architecture, which is maintained through the system and/or application's lifecycle

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: SD-01-TC01	System and/or application has a defined design and architecture document that covers at least the following areas (as applicable):
- Application components
- Infrastructure components
- User community
- Infrastructure build standards required
- Network zone placement
- Integration to monitoring and management systems
- Differences between various environments (DR, Test, Production, etc)
- Where data flows between different network trust levels, applicable source and destination requriements (ports, IP addresses etc.)
- Data classification of information stored
- Data classification of information processed
- Data models
- Data flows
- Authentication and authorisation mechanisms
- Communication protocols used
- Details of cryptographic design
- Regulatory requirements considered
Secondary: SD-01-TC02	The design and architecture is traceable to business requirement specifications
Secondary: SD-01-TC03	The design and architecture must enable the implementation of all applicable controls for the system and/or application
Primary: SD-01-TC04	The design and architecture must be up to date with the application environment as deployed in various environments
Secondary: SD-01-TC05	The design and architecture enables for switching off components that could come under sustained cyber attack
Primary: SD-01-TC06	The design and architecture is approved by the applicable architecture governance bodies. At minimum, the design and architecture is reviewed and approved by the lead architect for the cluster.
Primary: SD-01-TC07	The design and architecture ensures that administration and configuration of the system and/or application cannot be easily exploited by unauthorised parties
"
CO-01: Changes Reflected on CMDB,story,"*Narrative*

Technology Product Owner: The Configuration Management Database (including changes to CI dependencies) is changed within one working day of an approved change taking place or as soon as possible after the event where tool constraints dictate 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CO-01-TC01	Updates made to the CMDB (including changes to CI dependencies) are made within one working day of an approved change taking place or as soon as possible after the event where tool constraints dictate 
"
CO-03: Creation of Configuration Item Records - Platforms,story,"*Narrative*

Technology Product Owner: A CI record is created manually (by Platform Owners) when a new asset record is created within the approved CMDB toolset. All CI records captured in the CMDB contain the agreed Mandatory Attributes and are correctly mapped 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CO-03-TC01	A CI record is created manually (by Platform Owners) when a new asset record is created, within the approved CMDB toolset, for all in-scope CIs, as defined in the current CMDB data model
Primary : CO-03-TC02	All CI records captured in the CMDB contains the agreed Mandatory Attributes (including ownership) for the relevant Lifecycle phase as defined in the IT Asset and Configuration Management (ITACM) Scoping Model
Primary : CO-03-TC03	Each CI is appropriately and correctly mapped (with appropriate relationships) to all upstream and downstream dependencies within the CMDB in line with the CMDB Data Model rules.
"
VM-04: Vulnerability Patch Management,story,"*Narrative*

Technology Product Owner: Patches are tested in the test environment before being implemented in production

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: VM-04-TC01	Software, firmware and operating systems on Technology assets are kept appropriately updated (patched) with regard to supplier security vulnerability notifications.
Primary: VM-04-TC02	Patches are tested in the test environment before being implemented in production
"
CR-03: Prevent Unauthorised Changes Being Grouped With Authorised Changes,story,"*Narrative*

Technology Product Owner: The elements that make up a change in Production match all and only those elements that were approved for implementation following their collective testing; to prevent unauthorised changes from being migrated to Production together with authorised changes

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-03-TC01	All changes implemented match the agreed and authorised scope only and additional unauthorised changes are not migrated together with approved changes. The change coordinator is responsible for ensuring that additional scope items are not added to the change subsequent to approval
"
CR-04: Change Testing,story,"*Narrative*

Technology Product Owner: Evidence of pre-implementation testing is documented or attached to the Change Record in Change Management System prior to implementation of the change (only applicable where changes need to be tested i.e. application changes)

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-04-TC01	Where required (i.e. application changes), evidence of pre-implementation testing is documented or attached to the Change Record in Change Management System prior to implementation of the change
"
CR-05: Projects Change Testing,story,"*Narrative*

Technology Product Owner: The Test Strategy/Test Plan (or equivalent) document defines the Testing plans for the change and is approved prior to test execution. The test plan documents the steps necessary to prove the success of the desired change. Adequate evidence of testing and the sign-off thereof is validated and retained prior to implementation of a project/change into production

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-05-TC01	A signed off Test Strategy or Test Plan document (or equivalent) by Product Owner (or designate)
"
CR-06: Test Environment,story,"*Narrative*

Technology Product Owner: Testing is performed in a test environment which emulates the Production environment as closely as possible and is segregated from both Production and Development 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-06-TC01	Functional Testing is performed in a suitable Test environment identified and supported by relevant Environment teams
Primary : CR-06-TC02	Non-functional Testing (like Performance, DR Testing etc.) is performed in an environment that closely resembles the Production environment.  Any difference in configuration between the Production and Test environments must be captured (and authorised) in the Test Strategy/Test Plan (or equivalent) document, along with the associated risks
"
IS-03: Implement Secure Middleware,story,"*Narrative*

Technology Product Owner: Strict middleware security measures have been adopted to ensure that middleware components are secure and accessed by authorised personnel, services and applications only.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: IS-03-TC01	Middleware systems are built according to approved middleware build standard, and are appropriate to the business requirements for the application.
"
IS-04: Implement Secure Servers,story,"*Narrative*

Technology Product Owner: Processes and tools are available to manage the configurations of the  hardware and software of the organisation's servers

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: IS-04-TC02	All servers running Windows Operating systems have an operational, up to date, and approved anti-malware solution.
Primary: IS-04-TC01	Servers are built according to approved server build standard, and are appropriate to the business requirements for the application.
Secondary: IS-04-TC04	Host based intrusion detection mechanisms are configured to identify the unplanned termination of processes or applications
"
CO-05: Decommissioning of Configuration Items ,story,"*Narrative*

Technology Product Owner: The CMDB is updated upon decommissioning of configuration items

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CO-05-TC01	The CMDB is updated upon decommissioning of configuration items
"
VM-05: Perform Penetration Tests,story,"*Narrative*

Technology Product Owner: IT Systems and applications undergo penetration testing, and all identified issues are either remediated or are appropriately risk accepted before being deployed to a production environment.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: VM-05-TC01	The system or application requires to undergo penetration tests by the appropriate accredited suppliers/persons. The scoping of the penetration tests should be aligned to the controls required by the application or system.
Primary : VM-05-TC02	Issues identified by the penetration tests are remediated and this remediation is confirmed by a security consultant, before the system is implemented in Production.
Primary : VM-05-TC03	Non remediated issues are risk accepted as part of the risk acceptance process
Primary: VM-05-TC04	Penetration tests must be performed in an environment that matches the production environment
Primary: VM-05-TC05	All vulnerabilities are evaluated for severity, and aligned to the impacted control failure
"
CR-07: Performing Tests Using Appropriate Data,story,"*Narrative*

Technology Product Owner: Simulated test data or masked production data is used for testing. Where Production data is used, the Test Environment needs to adhere to controls associated with Production System.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-07-TC01	Test data makes considerations for:
- Expected input data types
- Edge cases of input data types (e.g. maximum values, minimum values)
- Unexpected input data types (e.g. letters instead of values)
- Expected volume of data
Primary : CR-07-TC02	Where test data makes use of masked data, masking algorithm either makes use of a hashing algorithm approved in the organisation's cryptography standards or is otherwise approved by the Risk Control Officer
Primary: CR-07-TC03	Where Production Data is used in a Test Environment, a control assessment was performed by the Risk Control Officer for the Test Environment. The control assessment for the Test Environment must have been performed within 9 months of the control assessment for the Production Environment. If the control assessment indicates deviation from Production Environment, associated risk approval is in place. 
"
DP-01: Personal Data Touchpoints,story,"*Narrative*

Review personal data touchpoints and remove all data fields which are excessive and not relevant for the purpose of processing.

*Acceptance Criteria*

All primary test cases completed

*Test Cases*

Provide evidence for each touchpoint that the data fields transferred / collected / processed / used are relevant and not excessive for the purpose of processing. Further guidance can be found in the Data Privacy Step-by-Step Guide.
"
AS-11: Implement Financial Regulatory Controls,story,"*Narrative*

Technology Product Owner: All financial transactions adhere to financial and regulatory checks to ensure that these applications do not contravene regulatory requirements

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: AS-11-02	All payments made have all applicable financial and regulatory checks performed  before the payment instruction is executed.
Primary: AS-11-03	The server enforces transactional limits on payment amount and frequency for relevant applications aligned with AML standards
Primary: AS-11-04	Applications must be integrated with a Client Behaviour Analysis mechanism to detect anomalous and suspicious behaviour
Primary: AS-11-05	Applications must provide a link that allows the user to 'raise an alarm' if they believe their account has been compromised.
Primary: AS-11-06	Transactions must be explicitly approved by an authenticated user.

Primary: AS-11-01	Applications providing financial services are integrated with appropriate fraud and anti-money laundering systems and ensure that the application aligns with AML controls. Where existing technologies are enhanced ensure that the AML processes are aligned to. For new processes please engage AML early to ensure that the AML controls are fully understood and aligned with.
"
DP-02: Personal Data Inventory,story,"*Narrative*

If a personal data inventory does not currently exist for this Business Unit a new inventory must be created. Guidance can be obtained from the BAGL Data Privacy Standard, as well as the Data Privacy Step-by-Step Guide. If a personal data inventory does exist, it must be updated to reflect these new personal data flows and new personal data being collected / processed. New personal data flows must be created or current personal data flows must be updated to reflect updated processing.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: DP-02-TC01 Set up and maintain a personal data inventory, where one does not currently exist for the Business Unit.
Primary: DP-02-TC02 Where a personal data inventory does exist in the Business Unit, evidence must be provided that the inventory was updated with new personal data being processed.
Primary: DP-02-TC03 Evidence of updated / new personal data flows must be provided.
"
AS-12: Data Validation within Applications,story,"*Narrative*

Technology Product Owner: Data validation controls (type range and content checks) are implemented within applications

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Secondary: AS-12-TC14	There should be a centralized input validation routine for the application 
Secondary: AS-12-TC15	Determine if the system supports UTF-8 extended character sets and if so, validate after UTF-8 decoding is completed
Secondary: AS-12-TC16	Validate all input against a white"" list of allowed characters
Primary: AS-12-TC17	Sensitive operations (such as transactions) must not be replayable. The anti-replay mechanisms provided by SSL are not sufficient to meet this control as they only apply at the network level.
Primary: AS-12-01	Identify all data sources and classify them into trusted and untrusted. Validate all data from untrusted Sources
Primary: AS-12-TC02	Specify proper character sets, such as UTF-8, for all sources of input
Primary: AS-12-TC03	Encode data to a common character set before validating (Canonicalize)
Primary: AS-12-TC04	All validation failures should result in input rejection
Primary: AS-12-TC05	Validate all client provided data before processing, including all parameters, URLs and HTTP header content (e.g. Cookie names and values). Be sure to include automated post backs from JavaScript, Flash or other embedded code
Primary: AS-12-TC06	Verify that header values in both requests and responses contain only characters from defined character sets.
Primary: AS-12-TC07	Validate data from redirects (An attacker may submit malicious content directly to the target of the redirect, thus circumventing application logic and any validation performed before the redirect)
Primary: AS-12-TC08	Validate for expected data types 
Primary: AS-12-TC09	Validate data range
Primary: AS-12-TC10	Validate data length
Primary: AS-12-TC11	Validate input information for boundary values where applicable (e.g. input for dates do not have 13th months)
"
